iter	Logloss
0	0.5974297517
1	0.5230790913
2	0.4719974197
3	0.4237500096
4	0.3990582037
5	0.3720673446
6	0.3455525193
7	0.3259314878
8	0.3141563462
9	0.3002497057
10	0.2918382417
11	0.2820645433
12	0.272022838
13	0.2645467733
14	0.2572846669
15	0.2513343386
16	0.2454527192
17	0.241400195
18	0.2376706271
19	0.2337272828
20	0.231142369
21	0.228537613
22	0.2279957971
23	0.2257913207
24	0.2227339349
25	0.2189445656
26	0.2173217455
27	0.2157721314
28	0.2145767254
29	0.2134433137
30	0.2124894421
31	0.2106171298
32	0.2086791353
33	0.2078578026
34	0.2073046512
35	0.2062171853
36	0.204033932
37	0.2025697167
38	0.2015450999
39	0.1996393287
40	0.1990046675
41	0.1977365709
42	0.1966669947
43	0.1956915103
44	0.1948666844
45	0.1942887922
46	0.1938973461
47	0.1927891985
48	0.1927443423
49	0.1926282298
50	0.1920190424
51	0.1912888115
52	0.1907755284
53	0.1899335281
54	0.1899313482
55	0.1891239717
56	0.1886377086
57	0.1882792813
58	0.1877967029
59	0.1869629856
60	0.1857130132
61	0.1853265278
62	0.184895987
63	0.1841168717
64	0.1836607642
65	0.1833653915
66	0.1832813456
67	0.1828814278
68	0.1822487596
69	0.1818860721
70	0.1814361395
71	0.1809896776
72	0.1802159275
73	0.1794880367
74	0.1792631149
75	0.1792537735
76	0.1788719167
77	0.1788700202
78	0.1783969915
79	0.1777164007
80	0.1771487905
81	0.1762849331
82	0.1752106846
83	0.1751877542
84	0.174909295
85	0.1748856071
86	0.1748779268
87	0.1744453049
88	0.1744198469
89	0.1742160087
90	0.1742096106
91	0.1738408276
92	0.1734770795
93	0.1734577333
94	0.1734159405
95	0.1734144577
96	0.1729022745
97	0.1725573074
98	0.1721026794
99	0.1712216849
100	0.1706004479
101	0.1700955114
102	0.1699461461
103	0.1695303584
104	0.1695291933
105	0.1690514301
106	0.1687352042
107	0.1681388921
108	0.1681337789
109	0.167955187
110	0.1676808829
111	0.1674718623
112	0.1669820622
113	0.1664005319
114	0.1661614705
115	0.1659707091
116	0.1655529521
117	0.1648191786
118	0.1644726849
119	0.164095243
6
