iter	Logloss
0	0.6695964786
1	0.6471414273
2	0.6267687942
3	0.6084688107
4	0.5905242392
5	0.5753968042
6	0.5618327569
7	0.5481375024
8	0.5368347116
9	0.524145469
10	0.5160810091
11	0.5079544424
12	0.5004020592
13	0.4930067848
14	0.4869755327
15	0.4797580241
16	0.473878954
17	0.4676272718
18	0.4624662729
19	0.4582399348
20	0.4543499906
21	0.4508156481
22	0.4465552058
23	0.4424833417
24	0.4394841443
25	0.4366876274
26	0.4326500678
27	0.429444486
28	0.4270570481
29	0.4244080704
30	0.4219100586
31	0.4197434397
32	0.4172169482
33	0.4143768105
34	0.4127130259
35	0.4109346717
36	0.4091997828
37	0.4073860179
38	0.4059461207
39	0.4040856234
40	0.4026938758
41	0.4013293625
42	0.3996139912
43	0.3983429836
44	0.3968581156
45	0.39567221
46	0.3940982639
47	0.3928324398
48	0.3913252387
49	0.3899728306
50	0.3887030669
51	0.3876845129
52	0.3865086282
53	0.3856500783
54	0.3847397298
55	0.3836715647
56	0.3828625918
57	0.3821320992
58	0.3805959611
59	0.3791431901
60	0.3783212565
61	0.3776097195
62	0.3765896459
63	0.3757893784
64	0.3748158737
65	0.3738736568
66	0.373024901
67	0.3723540769
68	0.3716872618
69	0.3708414488
70	0.3702256459
71	0.3695456809
72	0.3689805341
73	0.3684316114
74	0.3674105713
75	0.3667950786
76	0.3662625568
77	0.3656596053
78	0.3650090799
79	0.3644608404
80	0.3637741644
81	0.3629989354
82	0.3623065486
83	0.3616797992
84	0.3612672766
85	0.3606682061
86	0.3598959145
87	0.3593627545
88	0.3586013981
89	0.3580119926
90	0.3573505079
91	0.3568486267
92	0.3564372347
93	0.3560346216
94	0.3554578401
95	0.3544212706
96	0.3537256342
97	0.3533234055
98	0.3527696542
99	0.3522119069
100	0.3517313376
101	0.3513395428
102	0.3507250219
103	0.3502639471
104	0.3496114069
105	0.3492447563
106	0.348730428
107	0.3481373635
108	0.347215658
109	0.346773044
110	0.3462972754
111	0.3458027006
112	0.345384791
113	0.344816516
114	0.3444214746
115	0.3440482254
116	0.3436269519
117	0.3432034871
118	0.3428777487
119	0.3425110005
120	0.3421219979
121	0.3418384957
122	0.3415005476
123	0.3412279302
124	0.3408541975
125	0.3404384005
126	0.3399396988
127	0.3395810532
128	0.3391619677
129	0.3386684743
130	0.3381422528
131	0.3378080188
132	0.3375191663
133	0.3371136287
134	0.3367553848
135	0.3363506206
136	0.3356898332
137	0.3353019564
138	0.3342172279
139	0.3338486933
140	0.3334867475
141	0.333033717
142	0.3328067937
143	0.3325620159
144	0.3321106606
145	0.3318392173
146	0.3316353681
147	0.3314181441
148	0.3311687737
149	0.3306238642
150	0.3301735902
151	0.3299688222
152	0.3295972096
153	0.3292295924
154	0.3288154804
155	0.3285412743
156	0.3282031691
157	0.3278184079
158	0.3274210548
159	0.3270756902
160	0.3267412037
161	0.3262927758
162	0.3259628249
163	0.3256296417
164	0.3253139019
165	0.3249936678
166	0.3247983713
167	0.3244620663
168	0.3241013866
169	0.3238363648
170	0.3235945917
171	0.3233330447
172	0.3228962607
173	0.3225701177
174	0.3222755286
175	0.3218284254
176	0.3215262598
177	0.3211646413
178	0.3208967804
179	0.3206566932
180	0.320413939
181	0.3200323873
182	0.3197065941
183	0.3193647042
184	0.3191207807
185	0.318747774
186	0.318382458
187	0.318094059
188	0.3178807661
189	0.3172074381
190	0.3170873955
191	0.3167936217
192	0.3165930961
193	0.3162862169
194	0.315982426
195	0.3155576867
196	0.3151939048
197	0.315024468
198	0.3143061683
199	0.3140563004
200	0.313720994
201	0.313446236
202	0.3132180841
203	0.3129530637
204	0.312671897
205	0.3124219942
206	0.3121428998
207	0.3119963786
208	0.3118039062
209	0.3115097991
210	0.3112549354
211	0.3109294976
212	0.3106581824
213	0.3103483425
214	0.3101466123
215	0.309940207
216	0.3097307672
217	0.3094034476
218	0.3091174014
219	0.308824407
220	0.3086043371
221	0.3084318956
222	0.3081892965
223	0.3080168161
224	0.3078039516
225	0.3075530747
226	0.307384253
227	0.3071636752
228	0.3069224965
229	0.3066711581
230	0.3064716817
231	0.3062475704
232	0.3060193763
233	0.3058333669
234	0.3055599333
235	0.3054093425
236	0.305205539
237	0.3048973286
238	0.3047325169
239	0.3045300611
240	0.3042824352
241	0.3040862102
242	0.3038515753
243	0.3036236547
244	0.3034510225
245	0.3031503963
246	0.3029134819
247	0.3027036934
248	0.302467391
249	0.3022304232
250	0.3020554108
251	0.3017249449
252	0.3015849551
253	0.3013465509
254	0.3010415738
255	0.3007148465
256	0.3004560458
257	0.300205507
258	0.2999021653
259	0.2996506337
260	0.2994186211
261	0.2992587589
262	0.2990828905
263	0.2989117266
264	0.298771159
265	0.2986178943
266	0.2983187113
267	0.2980693609
268	0.2978230965
269	0.2976020848
270	0.2973724696
271	0.2972421642
272	0.2970950087
273	0.2968424547
274	0.2965699707
275	0.2962620833
276	0.2960530695
277	0.295868596
278	0.2957098291
279	0.2955447698
280	0.2953021072
281	0.2951515353
282	0.2949481239
283	0.2946997508
284	0.2944703575
285	0.2943219238
286	0.2941256111
287	0.2939055216
288	0.2936931049
289	0.2935002322
290	0.2932755734
291	0.2930602056
292	0.2928856215
293	0.2926927157
294	0.2925249043
295	0.2923947102
296	0.2921840697
297	0.2919731702
298	0.291775853
299	0.2916326216
300	0.2915305034
301	0.2913425713
302	0.2911948485
303	0.2910586175
304	0.2908883931
305	0.2906678622
306	0.2904587265
307	0.2903194571
308	0.2901141883
309	0.2899205777
310	0.2897585397
311	0.2895345444
312	0.2893287452
313	0.2891855777
314	0.2889657967
315	0.2887402076
316	0.2885655407
317	0.2884181227
318	0.2882452296
319	0.2880746936
320	0.2879138511
321	0.2877967557
322	0.2876035087
323	0.2874338808
324	0.2872629317
325	0.2871391564
326	0.2868887618
327	0.2866988037
328	0.2865442986
329	0.2864361951
330	0.2862572649
331	0.2860685804
332	0.2858812371
333	0.2856725258
334	0.28550515
335	0.2853552543
336	0.2851200183
337	0.2849904002
338	0.2848712944
339	0.2846855338
340	0.2844310791
341	0.2842107739
342	0.2840021834
343	0.2837979961
344	0.2836206018
345	0.2834427716
346	0.2833555019
347	0.2831867319
348	0.2830320971
349	0.2829013802
350	0.2827805147
351	0.2823546919
352	0.2821531532
353	0.2820034977
354	0.2818264224
355	0.2816208375
356	0.2814052838
357	0.2812581558
358	0.2810772247
359	0.2809723484
360	0.2808808176
361	0.2807219562
362	0.2805406141
363	0.2803966098
364	0.280084688
365	0.2799361383
366	0.2798562354
367	0.2797172932
368	0.2795963318
369	0.2794702733
370	0.2792947606
371	0.2791210263
372	0.2789955639
373	0.2788459523
374	0.2786075523
375	0.2784572861
376	0.27828063
377	0.2781002079
378	0.2778836959
379	0.2777419521
380	0.2776385696
381	0.2774405204
382	0.2772938511
383	0.2771385083
384	0.2769848913
385	0.2768742954
386	0.2766792228
387	0.2765642721
388	0.276365667
389	0.276208254
390	0.27601732
391	0.2758771579
392	0.2757862639
393	0.2756126478
394	0.2755040841
395	0.2753218475
396	0.2751809173
397	0.2750256198
398	0.2749101317
399	0.2746840691
400	0.2745117545
401	0.2744184922
402	0.2742545955
403	0.274132763
404	0.2739391323
405	0.2738126478
406	0.2736970044
407	0.2734807677
408	0.2732574734
409	0.2731625386
410	0.2730452916
411	0.2728471016
412	0.2727043275
413	0.2725739264
414	0.2724257041
415	0.2721824246
416	0.2720084332
417	0.2718288595
418	0.2716612195
419	0.2714823795
420	0.2712770506
421	0.2711215268
422	0.2710507215
423	0.2708820787
424	0.2707519324
425	0.2706288781
426	0.2704566633
427	0.270318377
428	0.2702007475
429	0.2699998539
430	0.2698754424
431	0.2697299747
432	0.2696048395
433	0.2694803611
434	0.2693896636
435	0.2692632665
436	0.269162452
437	0.269068004
438	0.2689627208
439	0.2687830398
440	0.2686719968
441	0.2685530199
442	0.2684137273
443	0.2683103315
444	0.2682446951
445	0.2681041028
446	0.2679536955
447	0.2677799056
448	0.2676973598
449	0.2675618295
450	0.2673685539
451	0.2672269991
452	0.2670711599
